"key","format","code"
"CC","PRONTO","0000 0070 0000 002a 007b 0044 000b 0013 000d 0035 000b 0013 000b 0013 000b 0013 000b 0013 000b 0013 000b 0013 000b 0013 000b 0013 000b 0013 000b 0013 000b 0013 000d 0035 000b 0013 000b 0013 000b 0013 000b 0013 000b 0013 000b 0013 000b 0013 000b 0013 000b 0013 000d 0035 000b 0013 000b 0013 000b 0013 000b 0013 000b 0013 000b 0013 000b 0013 000b 0013 000d 0035 000b 0013 000b 00d5 000b 0013 000a 0096 000b 00d5 000b 0013 000b 0013 0009 050a"
"COMPONENT","PRONTO","0000 006D 0000 0032 0083 0042 0010 0010 0010 0031 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0031 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0031 0010 0010 0010 0010 0010 0031 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0031 0010 0031 0010 0031 0010 0031 0010 0031 0010 0010 0010 0010 0010 0010 0010 0010 0010 0031 0010 0031 0010 0031 0010 0031 0010 0031 0010 0AED"
"PLAY","PRONTO","0000 0070 0000 0032 007f 0040 0010 000f 0010 0030 0010 000f 0010 000f 0010 000f 0010 000f 0010 000f 0010 000f 0010 000f 0010 000f 0010 000f 0010 000f 0010 000f 0010 0030 0010 000f 0010 000f 0010 000f 0010 000f 0010 000f 0010 000f 0010 000f 0010 000f 0010 000f 0010 0030 0010 0030 0010 000f 0010 000f 0010 0030 0010 000f 0010 000f 0010 000f 0010 000f 0010 000f 0010 000f 0010 000f 0010 000f 0010 000f 0010 000f 0010 0030 0010 0030 0010 0030 0010 000f 0010 000f 0010 0030 0010 000f 0010 000f 0010 0030 0010 000f 0010 02e4"
"PAUSE","PRONTO","0000 0070 0000 0032 007f 003f 0010 0010 0010 002f 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 002f 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 002f 0010 002f 0010 0010 0010 0010 0010 002f 0010 0010 0010 0010 0010 0010 0010 0010 0010 002f 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 002f 0010 002f 0010 0010 0010 0010 0010 0010 0010 002f 0010 0010 0010 0010 0010 002f 0010 0010 000f 02dd"
"STOP","PRONTO","0000 0070 0000 0032 007f 0040 000f 0010 000f 002f 000f 0010 000f 0010 000f 0010 000f 0010 000f 0010 000f 0010 000f 0010 000f 0010 000f 0010 000f 0010 000f 0010 000f 002f 000f 0010 000f 0010 000f 0010 000f 0010 000f 0010 000f 0010 000f 0010 000f 0010 000f 0010 000f 002f 000f 002f 000f 0010 000f 0010 000f 002f 000f 0010 000f 0010 000f 0010 000f 0010 000f 0010 000f 002f 000f 0010 000f 0010 000f 0010 000f 0010 000f 002f 000f 002f 000f 002f 000f 002f 000f 0010 000f 002f 000f 0010 000f 0010 000f 002f 000f 0010 000f 02dd"
"REW","PRONTO","0000 0070 0000 0033 007b 0044 000c 0010 000e 0033 000c 0010 000c 0010 000c 0010 000c 0010 000c 0010 000c 0010 000c 0010 000c 0010 000c 0010 000c 0010 000c 0010 000e 0033 000c 0010 000c 0010 000c 0010 000c 0010 000c 0010 000c 0010 000c 0010 000c 0010 000c 0010 000e 0033 000e 0033 000c 0010 000c 0010 000e 0033 000c 0010 000c 0010 000c 0010 000c 0010 000c 0010 000c 0010 000e 0033 000c 0010 000c 0010 000c 0010 000e 0033 000e 0033 000e 0033 000c 0010 000e 0033 000e 0033 000c 0010 000c 0010 000e 0033 000c 0010 000f 005e 0010 02e1"
"STEP_REW","PRONTO","0000 0070 0000 0032 007f 003f 0010 0010 0010 002f 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 002f 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 002f 0010 002f 0010 0010 0010 0010 0010 002f 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 002f 0010 002f 0010 002f 0010 0010 0010 002f 0010 002f 0010 002f 0010 0010 0010 002f 0010 0010 0010 002f 0010 0010 0010 002f 0010 0010 0010 02dd"
"FF","PRONTO","0000 0070 0000 0032 007f 003f 0010 0010 0010 002f 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 002f 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 002f 0010 002f 0010 0010 0010 0010 0010 002f 0010 0010 0010 0010 0010 0010 0010 0010 0010 002f 0010 002f 0010 0010 0010 0010 0010 0010 0010 0010 0010 002f 0010 002f 0010 0010 0010 002f 0010 0010 0010 002f 0010 0010 0010 0010 0010 002f 0010 0010 0010 02dd"
"STEP_FWD","PRONTO","0000 0070 0000 0031 0079 0045 000a 0013 000c 0035 000a 0013 000a 0013 000a 0013 000a 0013 000a 0013 000a 0013 000a 0013 000a 0013 000a 0013 000a 0013 000a 0013 000c 0035 000a 0013 000a 0013 000a 0013 000a 0013 000a 0013 000a 0013 000a 0013 000a 0013 000a 0013 000c 0035 000c 0035 000a 0013 000a 0013 000c 0035 000a 0013 000a 0013 000a 0013 000a 0013 000c 0035 000a 0013 000c 0035 000c 0035 000c 0035 000a 0013 000c 0035 000c 0035 000a 0013 000a 0013 000c 0035 000a 0013 000c 0035 000a 0013 000b 0054 000b 02dd"
"INFO","PRONTO","0000 0070 0000 0032 0078 0046 0009 0011 000d 0036 0009 0011 0009 0011 0009 0011 0009 0011 0009 0011 0009 0011 0009 0011 000d 0011 000d 0011 0009 0011 0009 0011 000d 0036 0009 0011 0009 0011 0009 0011 000d 0011 000d 0011 0009 0011 0009 0011 0009 0011 0009 0011 000d 0036 0009 0011 000d 0011 000d 0011 0009 0011 0009 0011 0009 0011 0009 0011 0009 0011 000d 0036 0009 0011 000d 0011 000d 0036 000d 0036 000d 0036 0009 0011 000d 0011 000d 0036 0009 0011 0009 0011 000d 0036 000d 0036 000d 0036 0009 0011 000d 0036 000b 02dd"
"VOL_UP","PRONTO","0000 0070 0000 0032 0080 0040 0010 0010 0010 0031 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0011 0010 0010 0010 0031 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0031 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0031 0010 0010 0010 0010 0010 0010 0010 0010 0010 0011 0010 0010 0010 0010 0010 0031 0010 0010 0010 0031 0010 0AA1"
"VOL_DOWN","PRONTO","0000 0071 0000 0032 0080 0040 0010 0010 0010 0030 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0030 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0030 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0030 0010 0010 0010 0010 0010 0010 0010 0010 0010 0030 0010 0010 0010 0010 0010 0030 0010 0010 0010 0010 0010 0010 0010 0010 0010 0030 0010 0010 0010 0030 0010 0A9D"
"MUTE","PRONTO","0000 0071 0000 0032 0080 0040 0010 0010 0010 0031 0010 0011 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0031 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0031 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0031 0010 0010 0010 0010 0010 0031 0010 0031 0010 0010 0010 0010 0010 0010 0010 0031 0010 0010 0010 0010 0010 0031 0010 0031 0010 0010 0010 0031 0010 0A9E"
"OPTIONS","PRONTO","0000 0070 0000 0032 0081 0041 0010 0011 0010 0031 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0031 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0011 0010 0031 0010 0031 0010 0011 0010 0011 0010 0031 0010 0011 0010 0011 0010 0011 0010 0011 0010 0031 0010 0031 0010 0031 0010 0011 0010 0011 0010 0031 0010 0011 0010 0031 0010 0011 0010 0031 0010 0031 0010 0031 0010 0011 0010 0031 0010 0011 0010 0011 0010 0AB1"
